,time,VAR
337,2018-01-01 00:00:01.354392,1434468.0
338,2018-01-01 00:00:01.358392,1428974.0
339,2018-01-01 00:00:01.362392,1424852.0
340,2018-01-01 00:00:01.366392,1419358.0
341,2018-01-01 00:00:01.370392,1416609.0
342,2018-01-01 00:00:01.374392,1404248.0
343,2018-01-01 00:00:01.378392,1391886.0
344,2018-01-01 00:00:01.382392,1376778.0
345,2018-01-01 00:00:01.386392,1363043.0
346,2018-01-01 00:00:01.390392,1353429.0
347,2018-01-01 00:00:01.394392,1347935.0
348,2018-01-01 00:00:01.398392,1345189.0
349,2018-01-01 00:00:01.402392,1341069.0
350,2018-01-01 00:00:01.406392,1341070.0
351,2018-01-01 00:00:01.410392,1334204.0
352,2018-01-01 00:00:01.414392,1330084.0
353,2018-01-01 00:00:01.418392,1320472.0
354,2018-01-01 00:00:01.422392,1310859.0
355,2018-01-01 00:00:01.426392,1297126.0
356,2018-01-01 00:00:01.430392,1291634.0
357,2018-01-01 00:00:01.434392,1287514.0
358,2018-01-01 00:00:01.438392,1287514.0
359,2018-01-01 00:00:01.442392,1286140.0
360,2018-01-01 00:00:01.446392,1282021.0
361,2018-01-01 00:00:01.450392,1280648.0
362,2018-01-01 00:00:01.454392,1277902.0
363,2018-01-01 00:00:01.458392,1271035.0
364,2018-01-01 00:00:01.462392,1266916.0
365,2018-01-01 00:00:01.466392,1264170.0
366,2018-01-01 00:00:01.470392,1260050.0
367,2018-01-01 00:00:01.474392,1253183.0
368,2018-01-01 00:00:01.478392,1253184.0
369,2018-01-01 00:00:01.482392,1249064.0
370,2018-01-01 00:00:01.486392,1242198.0
371,2018-01-01 00:00:01.490392,1238079.0
372,2018-01-01 00:00:01.494392,1238079.0
373,2018-01-01 00:00:01.498392,1225720.0
374,2018-01-01 00:00:01.502392,1218853.0
375,2018-01-01 00:00:01.506392,1203748.0
376,2018-01-01 00:00:01.510392,1192762.0
377,2018-01-01 00:00:01.514392,1179029.0
378,2018-01-01 00:00:01.518392,1166669.0
379,2018-01-01 00:00:01.522392,1159804.0
380,2018-01-01 00:00:01.526392,1154310.0
381,2018-01-01 00:00:01.530392,1147444.0
382,2018-01-01 00:00:01.534392,1135085.0
383,2018-01-01 00:00:01.538392,1129592.0
384,2018-01-01 00:00:01.542392,1126846.0
385,2018-01-01 00:00:01.546392,1117233.0
386,2018-01-01 00:00:01.550392,1113114.0
387,2018-01-01 00:00:01.554392,1108994.0
388,2018-01-01 00:00:01.558392,1104874.0
389,2018-01-01 00:00:01.562392,1103501.0
390,2018-01-01 00:00:01.566392,1106247.0
391,2018-01-01 00:00:01.570392,1100754.0
392,2018-01-01 00:00:01.574392,1099381.0
393,2018-01-01 00:00:01.578392,1095261.0
394,2018-01-01 00:00:01.582392,1095261.0
395,2018-01-01 00:00:01.586392,1092514.0
396,2018-01-01 00:00:01.590392,1085648.0
397,2018-01-01 00:00:01.594392,1080155.0
398,2018-01-01 00:00:01.598392,1077408.0
399,2018-01-01 00:00:01.602392,1071915.0
400,2018-01-01 00:00:01.606392,1063675.0
401,2018-01-01 00:00:01.610392,1054062.0
402,2018-01-01 00:00:01.614392,1043076.0
403,2018-01-01 00:00:01.618392,1033463.0
404,2018-01-01 00:00:01.622392,1026596.0
405,2018-01-01 00:00:01.626392,1015610.0
406,2018-01-01 00:00:01.630392,1008744.0
407,2018-01-01 00:00:01.634392,1001877.0
408,2018-01-01 00:00:01.638392,981278.0
409,2018-01-01 00:00:01.642392,959305.0
410,2018-01-01 00:00:01.646392,940079.0
411,2018-01-01 00:00:01.650392,922226.0
412,2018-01-01 00:00:01.654392,911240.0
413,2018-01-01 00:00:01.658392,911240.0
414,2018-01-01 00:00:01.662392,909867.0
415,2018-01-01 00:00:01.666392,909867.0
416,2018-01-01 00:00:01.670392,908493.0
417,2018-01-01 00:00:01.674392,907120.0
418,2018-01-01 00:00:01.678392,904373.0
419,2018-01-01 00:00:01.682392,903000.0
420,2018-01-01 00:00:01.686392,898880.0
421,2018-01-01 00:00:01.690392,896134.0
422,2018-01-01 00:00:01.694392,893387.0
423,2018-01-01 00:00:01.698392,889267.0
424,2018-01-01 00:00:01.702392,886521.0
425,2018-01-01 00:00:01.706392,882401.0
426,2018-01-01 00:00:01.710392,882401.0
427,2018-01-01 00:00:01.714392,875534.0
428,2018-01-01 00:00:01.718392,872788.0
429,2018-01-01 00:00:01.722392,864548.0
430,2018-01-01 00:00:01.726392,860428.0
431,2018-01-01 00:00:01.730392,843949.0
432,2018-01-01 00:00:01.734392,832962.0
433,2018-01-01 00:00:01.738392,820603.0
434,2018-01-01 00:00:01.742392,812363.0
435,2018-01-01 00:00:01.746392,805496.0
436,2018-01-01 00:00:01.750392,800003.0
437,2018-01-01 00:00:01.754392,798630.0
438,2018-01-01 00:00:01.758392,790390.0
439,2018-01-01 00:00:01.762392,786270.0
440,2018-01-01 00:00:01.766392,782151.0
441,2018-01-01 00:00:01.770392,778031.0
442,2018-01-01 00:00:01.774392,771164.0
443,2018-01-01 00:00:01.778392,767044.0
444,2018-01-01 00:00:01.782392,756058.0
445,2018-01-01 00:00:01.786392,746445.0
446,2018-01-01 00:00:01.790392,735459.0
447,2018-01-01 00:00:01.794392,721726.0
448,2018-01-01 00:00:01.798392,703873.0
449,2018-01-01 00:00:01.802392,692887.0
450,2018-01-01 00:00:01.806392,679154.0
451,2018-01-01 00:00:01.810392,673661.0
452,2018-01-01 00:00:01.814392,672287.0
453,2018-01-01 00:00:01.818392,665421.0
454,2018-01-01 00:00:01.822392,661301.0
455,2018-01-01 00:00:01.826392,658554.0
456,2018-01-01 00:00:01.830392,654434.0
457,2018-01-01 00:00:01.834392,651688.0
458,2018-01-01 00:00:01.838392,647568.0
459,2018-01-01 00:00:01.842392,637955.0
460,2018-01-01 00:00:01.846392,635208.0
461,2018-01-01 00:00:01.850392,624222.0
462,2018-01-01 00:00:01.854392,617356.0
463,2018-01-01 00:00:01.858392,606369.0
464,2018-01-01 00:00:01.862392,596756.0
465,2018-01-01 00:00:01.866392,587143.0
466,2018-01-01 00:00:01.870392,577530.0
467,2018-01-01 00:00:01.874392,566544.0
468,2018-01-01 00:00:01.878392,556931.0
469,2018-01-01 00:00:01.882392,550064.0
470,2018-01-01 00:00:01.886392,540451.0
471,2018-01-01 00:00:01.890392,532212.0
472,2018-01-01 00:00:01.894392,525345.0
473,2018-01-01 00:00:01.898392,517105.0
474,2018-01-01 00:00:01.902392,511612.0
475,2018-01-01 00:00:01.906392,508866.0
476,2018-01-01 00:00:01.910392,504746.0
477,2018-01-01 00:00:01.914392,499253.0
478,2018-01-01 00:00:01.918392,493759.0
479,2018-01-01 00:00:01.922392,484146.0
480,2018-01-01 00:00:01.926392,480027.0
481,2018-01-01 00:00:01.930392,470413.0
482,2018-01-01 00:00:01.934392,462174.0
483,2018-01-01 00:00:01.938392,456681.0
484,2018-01-01 00:00:01.942392,448441.0
485,2018-01-01 00:00:01.946392,441574.0
486,2018-01-01 00:00:01.950392,436081.0
487,2018-01-01 00:00:01.954392,436081.0
488,2018-01-01 00:00:01.958392,429215.0
489,2018-01-01 00:00:01.962392,420975.0
490,2018-01-01 00:00:01.966392,416855.0
491,2018-01-01 00:00:01.970392,409989.0
492,2018-01-01 00:00:01.974392,403122.0
493,2018-01-01 00:00:01.978392,400376.0
494,2018-01-01 00:00:01.982392,399002.0
495,2018-01-01 00:00:01.986392,393509.0
496,2018-01-01 00:00:01.990392,392136.0
497,2018-01-01 00:00:01.994392,389389.0
498,2018-01-01 00:00:01.998392,383896.0
499,2018-01-01 00:00:02.002392,382523.0
500,2018-01-01 00:00:02.006392,381150.0
501,2018-01-01 00:00:02.010392,379776.0
502,2018-01-01 00:00:02.014392,375656.0
503,2018-01-01 00:00:02.018392,371537.0
504,2018-01-01 00:00:02.022392,366043.0
505,2018-01-01 00:00:02.026392,366043.0
506,2018-01-01 00:00:02.030392,364670.0
507,2018-01-01 00:00:02.034392,359177.0
508,2018-01-01 00:00:02.038392,355057.0
509,2018-01-01 00:00:02.042392,352310.0
510,2018-01-01 00:00:02.046392,348191.0
511,2018-01-01 00:00:02.050392,342697.0
512,2018-01-01 00:00:02.054392,337204.0
513,2018-01-01 00:00:02.058392,335831.0
514,2018-01-01 00:00:02.062392,330338.0
515,2018-01-01 00:00:02.066392,323471.0
516,2018-01-01 00:00:02.070392,323471.0
517,2018-01-01 00:00:02.074392,319351.0
518,2018-01-01 00:00:02.078392,316605.0
519,2018-01-01 00:00:02.082392,315232.0
520,2018-01-01 00:00:02.086392,309738.0
521,2018-01-01 00:00:02.090392,305619.0
522,2018-01-01 00:00:02.094392,302872.0
523,2018-01-01 00:00:02.098392,297379.0
524,2018-01-01 00:00:02.102392,291886.0
525,2018-01-01 00:00:02.106392,287766.0
526,2018-01-01 00:00:02.110392,285019.0
527,2018-01-01 00:00:02.114392,280899.0
528,2018-01-01 00:00:02.118392,275406.0
529,2018-01-01 00:00:02.122392,269913.0
530,2018-01-01 00:00:02.126392,264420.0
531,2018-01-01 00:00:02.130392,263047.0
532,2018-01-01 00:00:02.134392,260300.0
533,2018-01-01 00:00:02.138392,257553.0
534,2018-01-01 00:00:02.142392,257553.0
535,2018-01-01 00:00:02.146392,253434.0
536,2018-01-01 00:00:02.150392,249314.0
537,2018-01-01 00:00:02.154392,249314.0
538,2018-01-01 00:00:02.158392,243820.0
539,2018-01-01 00:00:02.162392,239701.0
540,2018-01-01 00:00:02.166392,239701.0
541,2018-01-01 00:00:02.170392,236954.0
542,2018-01-01 00:00:02.174392,232834.0
543,2018-01-01 00:00:02.178392,232834.0
544,2018-01-01 00:00:02.182392,230088.0
545,2018-01-01 00:00:02.186392,228714.0
546,2018-01-01 00:00:02.190392,228714.0
547,2018-01-01 00:00:02.194392,224594.0
548,2018-01-01 00:00:02.198392,225968.0
549,2018-01-01 00:00:02.202392,221848.0
550,2018-01-01 00:00:02.206392,219101.0
551,2018-01-01 00:00:02.210392,219101.0
552,2018-01-01 00:00:02.214392,213608.0
553,2018-01-01 00:00:02.218392,212235.0
554,2018-01-01 00:00:02.222392,214981.0
555,2018-01-01 00:00:02.226392,210861.0
556,2018-01-01 00:00:02.230392,206742.0
557,2018-01-01 00:00:02.234392,202622.0
558,2018-01-01 00:00:02.238392,199875.0
559,2018-01-01 00:00:02.242392,198502.0
560,2018-01-01 00:00:02.246392,194382.0
561,2018-01-01 00:00:02.250392,191635.0
562,2018-01-01 00:00:02.254392,190262.0
563,2018-01-01 00:00:02.258392,183396.0
564,2018-01-01 00:00:02.262392,176529.0
